address,orientation,bearing,nearest_road,road_distance_m
11 ROSEWALL STREET,Unknown,,,0.01
48 WARRANE ROAD,Unknown,,,0.01
45 WARRANE ROAD,Unknown,,,0.01
102 WARRANE ROAD,Unknown,,,0.01
101 WARRANE ROAD,Unknown,,,0.01
8 ROSEWALL STREET,Unknown,,,0.01
7 ROSEWALL STREET,Unknown,,,0.01
"UNIT 18, 133-137 SYDNEY STREET",Unknown,,,0.01
"UNIT 17, 133-137 SYDNEY STREET",Unknown,,,0.01
"UNIT 16, 133-137 SYDNEY STREET",Unknown,,,0.01
"UNIT 15, 133-137 SYDNEY STREET",Unknown,,,0.01
"UNIT 14, 133-137 SYDNEY STREET",Unknown,,,0.01
8 SUMMERVILLE CRESCENT,Unknown,,,0.01
3 SUMMERVILLE CRESCENT,Unknown,,,0.01
1 SUMMERVILLE CRESCENT,Unknown,,,0.01
"UNIT 203, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
16 PACIFIC HIGHWAY,Unknown,,,0.03
181-185 PACIFIC HIGHWAY,Unknown,,,0.03
934 PACIFIC HIGHWAY,Unknown,,,0.03
"UNIT 516, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 504, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 202, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
86 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
3 PACIFIC HIGHWAY,Unknown,,,0.03
"UNIT 7, 12 AMAROO AVENUE",Unknown,,Harold Reid Foreshore Track,0.01
"UNIT 10, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 14, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 15, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 17, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 20, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 24, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 25, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 29, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 2, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 30, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 31, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 34, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 35, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 37, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 50, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 52, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 55, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 58, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 5, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 62, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 8, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 3, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 42, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 43, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 45, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 47, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 48, 27-33 BOUNDARY STREET",Unknown,,,0.03
"UNIT 4, 27-33 BOUNDARY STREET",Unknown,,,0.03
455A PENSHURST STREET,Unknown,,,0.02
83A PENSHURST STREET,Unknown,,Warners Avenue,0.01
83 PENSHURST STREET,Unknown,,Warners Avenue,0.01
88 PENSHURST STREET,Unknown,,Warners Avenue,0.01
94 PENSHURST STREET,Unknown,,Warners Avenue,0.01
9 ZARA ROAD,Unknown,,Warners Avenue,0.01
10 ZARA ROAD,Unknown,,Warners Avenue,0.01
12 ZARA ROAD,Unknown,,Warners Avenue,0.01
"UNIT 125, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 126, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 132, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 133, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 136, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 137, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 138, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 14, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 141, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 145, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 147, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 148, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 149, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 153, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 154, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 155, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 159, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 160, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
2B LUCKNOW STREET,Unknown,,Warners Avenue,0.01
2 LUCKNOW STREET,Unknown,,Warners Avenue,0.01
23 LUCKNOW STREET,Unknown,,Warners Avenue,0.01
11 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
12A WINDSOR ROAD,Unknown,,Warners Avenue,0.0
12 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
14 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
17 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
18 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
19 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
2 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
56 MOWBRAY PLACE,Unknown,,Morotai Crescent,0.0
58 MOWBRAY PLACE,Unknown,,Morotai Crescent,0.0
60 MOWBRAY PLACE,Unknown,,Morotai Crescent,0.0
27 WINDSOR ROAD,Unknown,,Eastern Valley Way,0.0
2 DEEPWATER ROAD,Unknown,,Harold Reid Foreshore Track,0.01
"UNIT 42, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 10, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 4, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 1, 80 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 36, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 40, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 1, 102 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 15, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 22, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 31, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 12, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 33, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 37, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 34, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 27, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 45, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 23, 16 TRAFALGAR AVENUE",Unknown,,,0.04
"UNIT 601, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 201, 5 VICTORIA STREET",Unknown,,,0.03
"UNIT 305, 3 VICTORIA STREET",Unknown,,,0.03
43 PACIFIC HIGHWAY,Unknown,,,0.03
"UNIT 1, 43 STRATHALLEN AVENUE",Unknown,,Sailors Bay Track,0.01
62 WILLIAM STREET,Unknown,,,0.03
438 PENSHURST STREET,Unknown,,,0.02
440 PENSHURST STREET,Unknown,,,0.02
444 PENSHURST STREET,Unknown,,,0.02
117 BOUNDARY STREET,Unknown,,,0.02
87 REMBRANDT DRIVE,Unknown,,,0.0
81 REMBRANDT DRIVE,Unknown,,Harold Reid Foreshore Track,0.0
24 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
25A KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
28 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
3 KAMERUKA ROAD,Unknown,,Morotai Crescent,0.0
32 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
34 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
35 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
37B KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
40 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
43 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
44 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
46 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
49 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
5A KAMERUKA ROAD,Unknown,,Morotai Crescent,0.0
5 KAMERUKA ROAD,Unknown,,Morotai Crescent,0.0
50 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
53 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
55A KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
55 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
56 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
58 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
10 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
12 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
13A BLIGH STREET,Unknown,,Sailors Bay Track,0.0
14 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
16 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
17A BLIGH STREET,Unknown,,Sailors Bay Track,0.0
17 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
18 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
19 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
2 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
20 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
21 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
23 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
24 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
25 BLIGH STREET,Unknown,,Sailors Bay Track,0.0
24 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
49 FRENCHS ROAD,Unknown,,Warners Avenue,0.01
5 FRENCHS ROAD,Unknown,,Morotai Crescent,0.01
"UNIT 87, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 67, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 69, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 7, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 72, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 73, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 74, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 75, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 79, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 8, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 80, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 82, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 89, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 90, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 91, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 95, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 96, 2 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
31 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
33A ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
23 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
29 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
32 EATON STREET,Unknown,,Warners Avenue,0.01
38 EATON STREET,Unknown,,Warners Avenue,0.01
8 PENDEY STREET,Unknown,,Morotai Crescent,0.01
25 PENSHURST STREET,Unknown,,Warners Avenue,0.01
27 PENSHURST STREET,Unknown,,Warners Avenue,0.01
29 PENSHURST STREET,Unknown,,Warners Avenue,0.01
33 PENSHURST STREET,Unknown,,Warners Avenue,0.01
49 ARTARMON ROAD,Unknown,,Warners Avenue,0.01
35 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
36 ARTARMON ROAD,Unknown,,Warners Avenue,0.02
39 ARTARMON ROAD,Unknown,,Warners Avenue,0.01
41 ARTARMON ROAD,Unknown,,Warners Avenue,0.01
42 ARTARMON ROAD,Unknown,,Warners Avenue,0.02
43 ARTARMON ROAD,Unknown,,Warners Avenue,0.01
45 ARTARMON ROAD,Unknown,,Warners Avenue,0.01
47 ARTARMON ROAD,Unknown,,Warners Avenue,0.01
1 EATON STREET,Unknown,,Warners Avenue,0.01
10 EATON STREET,Unknown,,Warners Avenue,0.01
11 EATON STREET,Unknown,,Warners Avenue,0.01
13 EATON STREET,Unknown,,Warners Avenue,0.01
15 EATON STREET,Unknown,,Warners Avenue,0.01
55 ARTARMON ROAD,Unknown,,Warners Avenue,0.02
57 ARTARMON ROAD,Unknown,,Warners Avenue,0.02
59 ARTARMON ROAD,Unknown,,Warners Avenue,0.02
67 ARTARMON ROAD,Unknown,,Warners Avenue,0.02
7 ARTARMON ROAD,Unknown,,Morotai Crescent,0.01
16 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
18 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
20 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
7A HUDSON AVENUE,Unknown,,Warners Avenue,0.01
9 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
28 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
42 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
48 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
52 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
54 EDINBURGH ROAD,Unknown,,Warners Avenue,0.0
"UNIT 12, LEVEL G, 8B DEEPWATER ROAD",Unknown,,,0.02
"UNIT 1, LEVEL G, 8B DEEPWATER ROAD",Unknown,,,0.02
"UNIT 37, LEVEL G, 8B DEEPWATER ROAD",Unknown,,,0.02
"UNIT 2, 41 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 3, 41 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 5, 41 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 6, 41 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
"UNIT 8, 41 FRENCHS ROAD",Unknown,,Warners Avenue,0.01
41 FRENCHS ROAD,Unknown,,Warners Avenue,0.01
42 FRENCHS ROAD,Unknown,,Morotai Crescent,0.01
67 HECTOR ROAD,Unknown,,Warners Avenue,0.01
7 HECTOR ROAD,Unknown,,Warners Avenue,0.01
6 ALLAN STREET,Unknown,,,0.02
8 ALLAN STREET,Unknown,,,0.02
138 BOUNDARY STREET,Unknown,,,0.02
140 BOUNDARY STREET,Unknown,,,0.02
15 HORSLEY AVENUE,Unknown,,,0.01
35 ARCHBOLD ROAD,Unknown,,,0.03
38 ARCHBOLD ROAD,Unknown,,,0.03
4 ARCHBOLD ROAD,Unknown,,,0.02
60 BOUNDARY STREET,Unknown,,,0.03
64 BOUNDARY STREET,Unknown,,,0.02
65 BOUNDARY STREET,Unknown,,,0.03
66 BOUNDARY STREET,Unknown,,,0.02
"UNIT 4, 134 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 5, 134 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 6, 134 PACIFIC HIGHWAY",Unknown,,,0.04
214 EASTERN VALLEY WAY,Unknown,,,0.0
1 NEVILLE STREET,Unknown,,,0.01
1 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
12 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
14 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
16 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
20 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
22 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
3 HUDSON AVENUE,Unknown,,Warners Avenue,0.01
8 MABEL STREET,Unknown,,Warners Avenue,0.01
9 MABEL STREET,Unknown,,Warners Avenue,0.01
7 WALTER STREET,Unknown,,Morotai Crescent,0.01
8 WALTER STREET,Unknown,,Morotai Crescent,0.01
9 WALTER STREET,Unknown,,Morotai Crescent,0.01
41 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
50 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
52 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
56 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
58 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
11 STEPHEN STREET,Unknown,,Warners Avenue,0.02
14 STEPHEN STREET,Unknown,,Warners Avenue,0.02
15 STEPHEN STREET,Unknown,,Warners Avenue,0.02
2 STEPHEN STREET,Unknown,,Warners Avenue,0.02
4 STEPHEN STREET,Unknown,,Warners Avenue,0.02
6 STEPHEN STREET,Unknown,,Warners Avenue,0.02
5 MABEL STREET,Unknown,,Warners Avenue,0.01
6A MABEL STREET,Unknown,,Warners Avenue,0.01
6 MABEL STREET,Unknown,,Warners Avenue,0.01
62 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
64 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
66 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
7 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
8 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
9 SALISBURY ROAD,Unknown,,Morotai Crescent,0.01
128 PENSHURST STREET,Unknown,,Warners Avenue,0.01
134 PENSHURST STREET,Unknown,,Warners Avenue,0.01
14 PENSHURST STREET,Unknown,,Warners Avenue,0.01
17 PENSHURST STREET,Unknown,,Warners Avenue,0.01
46 FRENCHS ROAD,Unknown,,Warners Avenue,0.01
8A DEEPWATER ROAD,Unknown,,,0.02
"UNIT 208, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 123, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 103, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 513, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 506, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 509, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 105, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 409, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 510, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 307, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 202, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 402, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
237A EASTERN VALLEY WAY,Unknown,,,0.0
"UNIT 201, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
10A HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
10B HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
11A HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
13 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
14 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
15B HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
20A HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
21 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
22 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
23 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
28 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
30 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
31 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
32 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
34A HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
35 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
36 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
37 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
39 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
4 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
1A HARDEN AVENUE,Unknown,,Morotai Crescent,0.01
1 HARDEN AVENUE,Unknown,,Morotai Crescent,0.01
40 HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
13 BYORA CRESCENT,Unknown,,,0.01
15 BYORA CRESCENT,Unknown,,,0.0
17 BYORA CRESCENT,Unknown,,,0.0
19 BYORA CRESCENT,Unknown,,,0.0
26 BYORA CRESCENT,Unknown,,,0.0
3 BYORA CRESCENT,Unknown,,,0.01
5 BYORA CRESCENT,Unknown,,,0.01
1 BYORA CRESCENT,Unknown,,,0.01
11 BYORA CRESCENT,Unknown,,,0.01
1 MAROOBA ROAD,Unknown,,Sailors Bay Track,0.0
12 MAROOBA ROAD,Unknown,,Sailors Bay Track,0.0
3 THE OUTPOST,Unknown,,Sailors Bay Track,0.0
4 THE OUTPOST,Unknown,,Sailors Bay Track,0.0
7 THE OUTPOST,Unknown,,Sailors Bay Track,0.0
9 THE OUTPOST,Unknown,,Sailors Bay Track,0.0
35 ULRIC LANE,Unknown,,Sailors Bay Track,0.01
139 EASTERN VALLEY WAY,Unknown,,Sunnyside Crescent,0.0
137 EASTERN VALLEY WAY,Unknown,,Sunnyside Crescent,0.0
133 EASTERN VALLEY WAY,Unknown,,Raeburn Avenue,0.0
131 EASTERN VALLEY WAY,Unknown,,Raeburn Avenue,0.0
129 EASTERN VALLEY WAY,Unknown,,,0.0
127 EASTERN VALLEY WAY,Unknown,,,0.0
121 EASTERN VALLEY WAY,Unknown,,,0.0
"UNIT 401, 11 VICTORIA STREET",Unknown,,,0.03
"UNIT 303, 11 VICTORIA STREET",Unknown,,,0.03
197 EASTERN VALLEY WAY,Unknown,,,0.0
195 EASTERN VALLEY WAY,Unknown,,,0.0
31 MABEL STREET,Unknown,,Warners Avenue,0.01
193 EASTERN VALLEY WAY,Unknown,,,0.0
187 EASTERN VALLEY WAY,Unknown,,,0.0
169 EASTERN VALLEY WAY,Unknown,,,0.0
165 EASTERN VALLEY WAY,Unknown,,,0.0
163 EASTERN VALLEY WAY,Unknown,,,0.0
"APARTMENT 507B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 205, 11 VICTORIA STREET",Unknown,,,0.03
"UNIT 307, 11 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 401B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
29A HARDEN AVENUE,Unknown,,Morotai Crescent,0.0
"UNIT 202, 9 VICTORIA STREET",Unknown,,,0.03
"APARTMENT 408B, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 101, 9 VICTORIA STREET",Unknown,,,0.03
"UNIT 135, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 119, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 518, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
61 WARRANE ROAD,Unknown,,,0.01
97A BOUNDARY STREET,Unknown,,,0.02
22 WINDSOR ROAD,Unknown,,Warners Avenue,0.0
10 MINNAMURRA ROAD,Unknown,,,0.0
11 MINNAMURRA ROAD,Unknown,,,0.0
12 MINNAMURRA ROAD,Unknown,,,0.0
14 MINNAMURRA ROAD,Unknown,,,0.0
67 WILLIAM STREET,Unknown,,,0.03
"APARTMENT 302A, 34 PENSHURST STREET",Unknown,,Warners Avenue,0.01
"UNIT 303, 9-11 VICTORIA STREET",Unknown,,,0.03
936A PACIFIC HIGHWAY,Unknown,,,0.03
10 BYORA CRESCENT,Unknown,,,0.0
16 TENILBA ROAD,Unknown,,Morotai Crescent,0.0
"UNIT 16, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 18, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 19, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 20, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 21, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 22, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
140 SYDNEY STREET,Unknown,,,0.01
436 PENSHURST STREET,Unknown,,,0.02
"UNIT 23, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 24, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 27, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 13, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 3, 181-185 PACIFIC HIGHWAY",Unknown,,,0.03
49B MINNAMURRA ROAD,Unknown,,,0.0
"UNIT 4, 7 MINNAMURRA ROAD",Unknown,,,0.0
"LEVEL 1, 16E DEEPWATER ROAD",Unknown,,,0.02
27-33 BOUNDARY STREET,Unknown,,,0.03
57 KAMERUKA ROAD,Unknown,,Sailors Bay Track,0.0
29R CALGA STREET,Unknown,,,0.02
"UNIT 1, 57 STRATHALLEN AVENUE",Unknown,,Sailors Bay Track,0.01
"UNIT 5, 57 STRATHALLEN AVENUE",Unknown,,Sailors Bay Track,0.01
32 WARRANE ROAD,Unknown,,,0.02
"UNIT 12, 177 PACIFIC HIGHWAY",Unknown,,,0.04
"UNIT 10, 118-122 PACIFIC HIGHWAY",Unknown,,,0.04
22B ORMONDE ROAD,Unknown,,,0.03
"UNIT 403, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
26 GOLFERS LANE,Unknown,,,0.03
"UNIT 219, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 616, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 207, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 501, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 301, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 134, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 313, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 509, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 508, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 613, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 8, 57 STRATHALLEN AVENUE",Unknown,,Sailors Bay Track,0.01
365 EASTERN VALLEY WAY,Unknown,,,0.02
361 EASTERN VALLEY WAY,Unknown,,,0.02
355 EASTERN VALLEY WAY,Unknown,,,0.02
349 EASTERN VALLEY WAY,Unknown,,,0.02
343 EASTERN VALLEY WAY,Unknown,,,0.02
90 DEEPWATER ROAD,Unknown,,Harold Reid Foreshore Track,0.01
33 DEEPWATER ROAD,Unknown,,,0.02
21 DEEPWATER ROAD,Unknown,,,0.02
