address,orientation,bearing,nearest_road,road_distance_m
81 ASHLEY STREET,Unknown,,,0.02
83 ASHLEY STREET,Unknown,,,0.02
95 ASHLEY STREET,Unknown,,,0.02
"UNIT 308, 16 ARTARMON ROAD",Unknown,,Morotai Crescent,0.01
"UNIT 105, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 205, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 101, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 136, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 102, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 409, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 133, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 602, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 212, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 210, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
10C THE OUTPOST,Unknown,,Morotai Crescent,0.0
"UNIT 211, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 307, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 608, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 128, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 405, 1015 PACIFIC HIGHWAY",Unknown,,,0.03
7 CHARLES STREET,Unknown,,Edith Street,0.0
22 THE PARAPET,Unknown,,,0.0
24 THE PARAPET,Unknown,,,0.0
27 THE PARAPET,Unknown,,The Parapet,0.0
109 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
73 EASTERN VALLEY WAY,Unknown,,Eastern Valley Way,0.0
3 THE BARRICADE,Unknown,,,0.0
7 THE BARRICADE,Unknown,,,0.0
9 THE BARRICADE,Unknown,,,0.0
18 HOLLY STREET,Unknown,,,0.02
2A HOLLY STREET,Unknown,,,0.02
2B HOLLY STREET,Unknown,,,0.02
26 HOLLY STREET,Unknown,,,0.02
44 HOLLY STREET,Unknown,,,0.02
7 HOLLY STREET,Unknown,,,0.02
8 HOLLY STREET,Unknown,,,0.02
36 CAMMARAY ROAD,Unknown,,,0.01
1 CAMMARAY ROAD,Unknown,,,0.01
10 CAMMARAY ROAD,Unknown,,,0.01
12 CAMMARAY ROAD,Unknown,,,0.01
23 CAMMARAY ROAD,Unknown,,,0.01
30 CAMMARAY ROAD,Unknown,,,0.01
34 CAMMARAY ROAD,Unknown,,,0.01
4 WIDGIEWA ROAD,Unknown,,,0.0
6 THE PARAPET,Unknown,,The Parapet,0.0
11 THE RAMPART,Unknown,,,0.0
"UNIT 1, 125 EASTERN VALLEY WAY",Unknown,,,0.0
30A ORMONDE ROAD,Unknown,,,0.03
1 THE KINGSWAY,Unknown,,,0.02
12 THE KINGSWAY,Unknown,,,0.02
13 THE KINGSWAY,Unknown,,,0.02
14 THE KINGSWAY,Unknown,,,0.03
15A THE KINGSWAY,Unknown,,,0.02
15 THE KINGSWAY,Unknown,,,0.02
16 THE KINGSWAY,Unknown,,,0.03
2 THE KINGSWAY,Unknown,,,0.03
1 BABBAGE ROAD,Unknown,,,0.02
101 BABBAGE ROAD,Unknown,,,0.02
11 BABBAGE ROAD,Unknown,,,0.02
15 BABBAGE ROAD,Unknown,,,0.02
23 BABBAGE ROAD,Unknown,,,0.02
25 BABBAGE ROAD,Unknown,,,0.02
3 BABBAGE ROAD,Unknown,,,0.02
17 DUDLEY AVENUE,Unknown,,,0.03
20 DUDLEY AVENUE,Unknown,,,0.03
22 DUDLEY AVENUE,Unknown,,,0.03
23 DUDLEY AVENUE,Unknown,,,0.03
35 LONGFORD STREET,Unknown,,,0.04
5 LONGFORD STREET,Unknown,,,0.04
6 LONGFORD STREET,Unknown,,,0.04
47 PACIFIC HIGHWAY,Unknown,,,0.03
"UNIT 2, 49 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 4, 49 PACIFIC HIGHWAY",Unknown,,,0.03
49 PACIFIC HIGHWAY,Unknown,,,0.03
43 GRIFFITH AVENUE,Unknown,,,0.02
47 GRIFFITH AVENUE,Unknown,,,0.02
51 GRIFFITH AVENUE,Unknown,,,0.02
53 GRIFFITH AVENUE,Unknown,,,0.02
55 GRIFFITH AVENUE,Unknown,,,0.02
16 BARANA PARADE,Unknown,,,0.02
17 BARANA PARADE,Unknown,,,0.02
19 BARANA PARADE,Unknown,,,0.02
20 BARANA PARADE,Unknown,,,0.02
21 BARANA PARADE,Unknown,,,0.02
20 DUNTROON AVENUE,Unknown,,,0.02
21 DUNTROON AVENUE,Unknown,,,0.02
"UNIT 36, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 37, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
23 THOMAS AVENUE,Unknown,,,0.04
24 THOMAS AVENUE,Unknown,,,0.04
27 THOMAS AVENUE,Unknown,,,0.04
28 THOMAS AVENUE,Unknown,,,0.04
29 THOMAS AVENUE,Unknown,,,0.04
3 THOMAS AVENUE,Unknown,,,0.04
"UNIT 44, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 46, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 47, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 48, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 50, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 51, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 6, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 7, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 8, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
"UNIT 9, 5-17 PACIFIC HIGHWAY",Unknown,,,0.03
26 TRAFALGAR AVENUE,Unknown,,,0.04
29 TRAFALGAR AVENUE,Unknown,,,0.04
10B BOUNDARY STREET,Unknown,,,0.03
101 BOUNDARY STREET,Unknown,,,0.02
103 BOUNDARY STREET,Unknown,,,0.02
31 MARGARET STREET,Unknown,,,0.02
5 MARGARET STREET,Unknown,,,0.02
7 MARGARET STREET,Unknown,,,0.02
41 BROMBOROUGH ROAD,Unknown,,,0.04
42 BROMBOROUGH ROAD,Unknown,,,0.04
43 BROMBOROUGH ROAD,Unknown,,,0.04
7 HAIG STREET,Unknown,,,0.03
9 HAIG STREET,Unknown,,,0.03
98 BOUNDARY STREET,Unknown,,,0.02
1A BROMBOROUGH ROAD,Unknown,,,0.04
10 BROMBOROUGH ROAD,Unknown,,,0.04
